Freq_Hz,Accel_g,Accel_main
16.143,8.42E-08,6.14E-07
16.152,8.63E-08,6.30E-07
16.162,8.17E-08,5.96E-07
16.171,8.02E-08,5.85E-07
16.18,1.30E-07,9.51E-07
16.19,9.48E-08,6.92E-07
16.199,7.44E-08,5.43E-07
16.209,6.14E-08,4.48E-07
16.218,1.16E-07,8.47E-07
16.227,2.07E-07,1.51E-06
16.237,4.28E-08,3.13E-07
16.246,1.17E-07,8.53E-07
16.255,8.33E-08,6.08E-07
16.265,8.84E-08,6.45E-07
16.274,5.71E-08,4.17E-07
16.284,1.91E-07,1.39E-06
16.293,1.45E-07,1.06E-06
16.302,1.19E-08,8.70E-08
16.312,2.76E-08,2.01E-07
16.321,2.66E-08,1.94E-07
16.331,1.08E-07,7.85E-07
16.34,3.09E-08,2.25E-07
16.349,1.63E-08,1.19E-07
16.359,1.31E-07,9.53E-07
16.368,2.53E-08,1.84E-07
16.378,1.20E-07,8.76E-07
16.387,1.11E-07,8.06E-07
16.396,6.01E-08,4.39E-07
16.406,1.31E-07,9.53E-07
16.415,1.05E-07,7.66E-07
16.425,1.56E-07,1.13E-06
16.434,8.51E-08,6.21E-07
16.443,4.71E-08,3.43E-07
16.453,1.03E-07,7.51E-07
16.462,1.21E-07,8.82E-07
16.471,1.79E-08,1.30E-07
16.481,7.99E-08,5.83E-07
16.49,4.15E-08,3.03E-07
16.5,9.31E-08,6.79E-07
16.509,1.26E-07,9.17E-07
16.518,9.43E-08,6.88E-07
16.528,7.66E-08,5.59E-07
16.537,4.23E-08,3.09E-07
16.547,1.11E-07,8.13E-07
16.556,7.86E-08,5.74E-07
16.565,1.09E-07,7.97E-07
16.575,2.60E-08,1.90E-07
16.584,1.60E-07,1.17E-06
16.594,4.04E-08,2.95E-07
16.603,7.88E-08,5.75E-07
16.612,1.07E-07,7.81E-07
16.622,7.56E-08,5.51E-07
16.631,9.72E-08,7.09E-07
16.64,3.76E-08,2.74E-07
16.65,2.93E-08,2.14E-07
16.659,9.50E-08,6.93E-07
16.669,1.16E-07,8.47E-07
16.678,5.62E-08,4.10E-07
16.687,4.82E-08,3.52E-07
16.697,6.55E-08,4.78E-07
16.706,6.07E-08,4.43E-07
16.716,1.50E-07,1.10E-06
16.725,5.54E-08,4.04E-07
16.734,6.24E-08,4.56E-07
16.744,8.09E-08,5.90E-07
16.753,7.25E-08,5.29E-07
16.763,1.30E-07,9.47E-07
16.772,2.10E-07,1.53E-06
16.781,1.49E-07,1.09E-06
16.791,1.61E-07,1.17E-06
16.8,1.18E-07,8.62E-07
16.81,6.00E-08,4.38E-07
16.819,7.18E-08,5.24E-07
16.828,5.12E-08,3.74E-07
16.838,5.15E-08,3.75E-07
16.847,7.88E-08,5.75E-07
16.856,9.02E-08,6.58E-07
16.866,1.30E-07,9.45E-07
16.875,2.75E-07,2.01E-06
16.885,1.15E-07,8.41E-07
16.894,5.45E-08,3.98E-07
16.903,5.29E-08,3.86E-07
16.913,5.62E-08,4.10E-07
16.922,1.37E-07,1.00E-06
