freq,xdft,psdx
13.467,4.72E-08,5.04E-07
13.471,8.53E-08,9.11E-07
13.475,1.14E-07,1.21E-06
13.48,4.51E-08,4.81E-07
13.484,3.83E-08,4.09E-07
13.488,7.25E-08,7.74E-07
13.493,1.27E-07,1.35E-06
13.497,7.66E-08,8.18E-07
13.502,7.85E-08,8.38E-07
13.506,4.42E-08,4.71E-07
13.51,6.75E-08,7.21E-07
13.515,5.50E-08,5.87E-07
13.519,8.72E-08,9.31E-07
13.524,6.30E-08,6.73E-07
13.528,7.19E-08,7.67E-07
13.532,4.94E-08,5.27E-07
13.537,6.06E-08,6.47E-07
13.541,3.69E-08,3.93E-07
13.545,7.13E-08,7.61E-07
13.55,6.65E-08,7.10E-07
13.554,9.69E-08,1.03E-06
13.559,1.02E-07,1.09E-06
13.563,5.61E-08,5.99E-07
13.567,1.10E-07,1.18E-06
13.572,9.69E-08,1.03E-06
13.576,5.41E-08,5.78E-07
13.581,8.28E-08,8.84E-07
13.585,6.45E-08,6.89E-07
13.589,1.04E-07,1.11E-06
13.594,6.70E-08,7.16E-07
13.598,8.34E-08,8.91E-07
13.603,4.00E-08,4.27E-07
13.607,8.52E-08,9.10E-07
13.611,1.43E-07,1.53E-06
13.616,3.96E-08,4.23E-07
13.62,5.97E-08,6.38E-07
13.624,8.59E-08,9.17E-07
13.629,6.24E-08,6.66E-07
13.633,1.21E-07,1.29E-06
13.638,5.23E-08,5.58E-07
13.642,9.42E-08,1.01E-06
13.646,1.31E-07,1.40E-06
13.651,1.85E-07,1.97E-06
13.655,6.68E-08,7.14E-07
13.66,9.22E-08,9.85E-07
13.664,8.22E-08,8.77E-07
13.668,9.21E-08,9.83E-07
13.673,6.55E-08,6.99E-07
13.677,5.58E-08,5.96E-07
13.681,1.27E-07,1.35E-06
13.686,7.87E-08,8.40E-07
13.69,1.35E-07,1.44E-06
13.695,3.96E-08,4.23E-07
13.699,6.31E-08,6.74E-07
13.703,9.24E-08,9.86E-07
13.708,9.49E-08,1.01E-06
13.712,2.11E-08,2.25E-07
13.717,7.45E-09,7.96E-08
13.721,1.42E-07,1.52E-06
13.725,3.14E-08,3.35E-07
13.73,1.22E-08,1.30E-07
13.734,5.61E-08,5.99E-07
13.738,1.12E-07,1.20E-06
13.743,5.50E-08,5.87E-07
13.747,8.68E-08,9.27E-07
13.752,1.13E-07,1.21E-06
13.756,6.46E-08,6.90E-07
13.76,9.21E-08,9.84E-07
13.765,8.87E-08,9.46E-07
13.769,3.47E-08,3.70E-07
13.774,7.87E-08,8.41E-07
13.778,1.08E-07,1.16E-06
13.782,5.42E-08,5.79E-07
13.787,9.23E-08,9.85E-07
13.791,4.56E-08,4.87E-07
13.796,4.20E-08,4.49E-07
13.8,9.08E-08,9.70E-07
13.804,3.97E-08,4.24E-07
13.809,5.42E-08,5.79E-07
13.813,6.99E-08,7.46E-07
13.817,1.81E-07,1.93E-06
13.822,7.01E-08,7.48E-07
